Country (English),Country (Arabic),Demonym (Male),Demonym (Female)
Guinea-Bissau,غينيا بيساو,Guinea-Bissauan,Guinea-Bissauan
Azerbaijan,أذربيجان,Azerbaijani,Azerbaijani
Réunion,لا ريونيون,Réunionese,Réunionese
Djibouti,جيبوتي,Djibouti,Djibouti
North Korea,كوريا الشمالية,North Korean,North Korean
Mauritius,موريشيوس,Mauritian,Mauritian
Montserrat,مونتسرات,Montserratian,Montserratian
United States Virgin Islands,جزر العذراء الامريكية,Virgin Islander,Virgin Islander
Colombia,كولومبيا,Colombian,Colombian
Greece,اليونان,Greek,Greek
Croatia,كرواتيا,Croatian,Croatian
Morocco,المغرب,Moroccan,Moroccan
Algeria,الجزائر,Algerian,Algerian
Antarctica,أنتارتيكا,Antarctican,Antarctican
Netherlands,هولندا,Dutch,Dutch
Sudan,السودان,Sudanese,Sudanese
Fiji,فيجي,Fijian,Fijian
Liechtenstein,ليختنشتاين,Liechtensteiner,Liechtensteiner
Nepal,نيبال,Nepalese,Nepalese
Puerto Rico,بويرتوريكو,Puerto Rican,Puerto Rican
Georgia,جورجيا,Georgian,Georgian
Pakistan,باكستان,Pakistani,Pakistani
Monaco,موناكو,Monegasque,Monegasque
Botswana,بوتسوانا,Motswana,Motswana
Lebanon,لبنان,Lebanese,Lebanese
Papua New Guinea,بابوا غينيا الجديدة,Papua New Guinean,Papua New Guinean
Mayotte,مايوت,Mahoran,Mahoran
Dominican Republic,جمهورية الدومينيكان,Dominican,Dominican
Norfolk Island,جزيرة نورفولك,Norfolk Islander,Norfolk Islander
Bouvet Island,جزر بوفيه,,
Qatar,قطر,Qatari,Qatari
Madagascar,مدغشقر,Malagasy,Malagasy
India,الهند,Indian,Indian
Syria,سوريا,Syrian,Syrian
Montenegro,الجبل الاسود,Montenegrin,Montenegrin
Eswatini,إسواتيني,Swazi,Swazi
Paraguay,باراغواي,Paraguayan,Paraguayan
El Salvador,السلفادور,Salvadoran,Salvadoran
Ukraine,أوكرانيا,Ukrainian,Ukrainian
Isle of Man,جزيرة مان,Manx,Manx
Namibia,ناميبيا,Namibian,Namibian
United Arab Emirates,دولة الإمارات العربية المتحدة,Emirati,Emirati
Bulgaria,بلغاريا,Bulgarian,Bulgarian
Greenland,جرينلاند,Greenlandic,Greenlandic
Germany,ألمانيا,German,German
Cambodia,كمبوديا,Cambodian,Cambodian
Iraq,العراق,Iraqi,Iraqi
French Southern and Antarctic Lands,أراض فرنسية جنوبية وأنتارتيكية,French,French
Sweden,السويد,Swedish,Swedish
Cuba,كوبا,Cuban,Cuban
Kyrgyzstan,قيرغيزستان,Kirghiz,Kirghiz
Russia,روسيا,Russian,Russian
Malaysia,ماليزيا,Malaysian,Malaysian
São Tomé and Príncipe,ساو تومي وبرينسيب,Sao Tomean,Sao Tomean
Cyprus,قبرص,Cypriot,Cypriot
Canada,كندا,Canadian,Canadian
Malawi,مالاوي,Malawian,Malawian
Saudi Arabia,السعودية,Saudi Arabian,Saudi Arabian
Bosnia and Herzegovina,البوسنة والهرسك,"Bosnian, Herzegovinian","Bosnian, Herzegovinian"
Ethiopia,إثيوبيا,Ethiopian,Ethiopian
Spain,إسبانيا,Spanish,Spanish
Slovenia,سلوفينيا,Slovene,Slovene
Oman,عمان,Omani,Omani
Saint Pierre and Miquelon,سان بيير وميكلون,"Saint-Pierrais, Miquelonnais","Saint-Pierrais, Miquelonnais"
Macau,ماكاو,Macanese,Macanese
San Marino,سان مارينو,Sammarinese,Sammarinese
Lesotho,ليسوتو,Mosotho,Mosotho
Marshall Islands,جزر مارشال,Marshallese,Marshallese
Sint Maarten,سينت مارتن,St. Maartener,St. Maartener
Iceland,آيسلندا,Icelander,Icelander
Luxembourg,لوكسمبورغ,Luxembourger,Luxembourger
Argentina,الأرجنتين,Argentine,Argentine
Turks and Caicos Islands,جزر توركس وكايكوس,Turks and Caicos Islander,Turks and Caicos Islander
Nauru,ناورو,Nauruan,Nauruan
Cocos (Keeling) Islands,جزر كوكوس,Cocos Islander,Cocos Islander
Western Sahara,الصحراء الغربية,Sahrawi,Sahrawi
Dominica,دومينيكا,Dominican,Dominican
Costa Rica,كوستاريكا,Costa Rican,Costa Rican
Australia,أستراليا,Australian,Australian
Thailand,تايلند,Thai,Thai
Haiti,هايتي,Haitian,Haitian
Tuvalu,توفالو,Tuvaluan,Tuvaluan
Honduras,هندوراس,Honduran,Honduran
Equatorial Guinea,غينيا الاستوائية,Equatorial Guinean,Equatorial Guinean
Saint Lucia,سانت لوسيا,Saint Lucian,Saint Lucian
French Polynesia,بولينزيا الفرنسية,French Polynesian,French Polynesian
Belarus,بيلاروسيا,Belarusian,Belarusian
Latvia,لاتفيا,Latvian,Latvian
Palau,بالاو,Palauan,Palauan
Guadeloupe,غوادلوب,Guadeloupian,Guadeloupian
Philippines,الفلبين,Filipino,Filipino
Gibraltar,جبل طارق,Gibraltar,Gibraltar
Denmark,الدنمارك,Danish,Danish
Cameroon,الكاميرون,Cameroonian,Cameroonian
Guinea,غينيا,Guinean,Guinean
Bahrain,‏البحرين,Bahraini,Bahraini
Suriname,سورينام,Surinamer,Surinamer
DR Congo,الكونغو,Congolese,Congolese
Somalia,الصومال,Somali,Somali
Czechia,التشيك,Czech,Czech
New Caledonia,كاليدونيا الجديدة,New Caledonian,New Caledonian
Vanuatu,فانواتو,Ni-Vanuatu,Ni-Vanuatu
"Saint Helena, Ascension and Tristan da Cunha",سانت هيلينا وأسينشين وتريستان دا كونا,Saint Helenian,Saint Helenian
Togo,توغو,Togolese,Togolese
British Virgin Islands,جزر العذراء,Virgin Islander,Virgin Islander
Kenya,كينيا,Kenyan,Kenyan
Niue,نييوي,Niuean,Niuean
Heard Island and McDonald Islands,جزيرة هيرد وجزر ماكدونالد,Heard and McDonald Islander,Heard and McDonald Islander
Rwanda,رواندا,Rwandan,Rwandan
Estonia,إستونيا,Estonian,Estonian
Romania,رومانيا,Romanian,Romanian
Trinidad and Tobago,ترينيداد وتوباغو,Trinidadian,Trinidadian
Guyana,غيانا,Guyanese,Guyanese
Timor-Leste,تيمور الشرقية,East Timorese,East Timorese
Vietnam,فيتنام,Vietnamese,Vietnamese
Uruguay,الأوروغواي,Uruguayan,Uruguayan
Vatican City,مدينة الفاتيكان,Vatican,Vatican
Hong Kong,هونغ كونغ,Hong Konger,Hong Konger
Austria,النمسا,Austrian,Austrian
Antigua and Barbuda,أنتيغوا وباربودا,"Antiguan, Barbudan","Antiguan, Barbudan"
Turkmenistan,تركمانستان,Turkmen,Turkmen
Mozambique,موزمبيق,Mozambican,Mozambican
Panama,بنما,Panamanian,Panamanian
Micronesia,ميكرونيسيا,Micronesian,Micronesian
Ireland,أيرلندا,Irish,Irish
Curaçao,كوراساو,Curaçaoan,Curaçaoan
French Guiana,غويانا,Guianan,Guianan
Norway,النرويج,Norwegian,Norwegian
Åland Islands,جزر أولاند,Ålandish,Ålandish
Central African Republic,جمهورية أفريقيا الوسطى,Central African,Central African
Burkina Faso,بوركينا فاسو,Burkinabe,Burkinabe
Eritrea,إريتريا,Eritrean,Eritrean
Tanzania,تنزانيا,Tanzanian,Tanzanian
South Korea,كوريا الجنوبية,South Korean,South Korean
Jordan,الأردن,Jordanian,Jordanian
Mauritania,موريتانيا,Mauritanian,Mauritanian
Lithuania,ليتوانيا,Lithuanian,Lithuanian
United States Minor Outlying Islands,جزر الولايات المتحدة الصغيرة النائية,American Islander,American Islander
Slovakia,سلوفاكيا,Slovak,Slovak
Angola,جمهورية أنغولا,Angolan,Angolan
Kazakhstan,كازاخستان,Kazakhstani,Kazakhstani
Moldova,مولدوڤا,Moldovan,Moldovan
Mali,مالي,Malian,Malian
Falkland Islands,جزر فوكلاند,Falkland Islander,Falkland Islander
Armenia,أرمينيا,Armenian,Armenian
Samoa,ساموا,Samoan,Samoan
Jersey,جيرزي,Channel Islander,Channel Islander
Japan,اليابان,Japanese,Japanese
Bolivia,بوليفيا,Bolivian,Bolivian
Chile,تشيلي,Chilean,Chilean
United States,الولايات المتحدة,American,American
Saint Vincent and the Grenadines,سانت فينسنت والغرينادين,Saint Vincentian,Saint Vincentian
Bermuda,برمودا,Bermudian,Bermudian
Seychelles,سيشل,Seychellois,Seychellois
British Indian Ocean Territory,إقليم المحيط الهندي البريطاني,Indian,Indian
Guatemala,غواتيمالا,Guatemalan,Guatemalan
Ecuador,الإكوادور,Ecuadorean,Ecuadorean
Martinique,مارتينيك,Martinican,Martinican
Tajikistan,طاجيكستان,Tadzhik,Tadzhik
Malta,مالطا,Maltese,Maltese
Gambia,غامبيا,Gambian,Gambian
Nigeria,نيجيريا,Nigerian,Nigerian
Bahamas,باهاماس,Bahamian,Bahamian
Kosovo,كوسوفو,Kosovar,Kosovar
Kuwait,الكويت,Kuwaiti,Kuwaiti
Maldives,المالديف,Maldivan,Maldivan
South Sudan,جنوب السودان,South Sudanese,South Sudanese
Iran,إيران,Iranian,Iranian
Albania,ألبانيا,Albanian,Albanian
Brazil,البرازيل,Brazilian,Brazilian
Serbia,صيربيا,Serbian,Serbian
Belize,بليز,Belizean,Belizean
Myanmar,ميانمار,Burmese,Burmese
Bhutan,بوتان,Bhutanese,Bhutanese
Venezuela,فنزويلا,Venezuelan,Venezuelan
Liberia,ليبيريا,Liberian,Liberian
Jamaica,جامايكا,Jamaican,Jamaican
Poland,بولندا,Polish,Polish
Cayman Islands,جزر كايمان,Caymanian,Caymanian
Brunei,بروناي,Bruneian,Bruneian
Comoros,جزر القمر,Comoran,Comoran
Guam,غوام,Guamanian,Guamanian
Tonga,تونغا,Tongan,Tongan
Kiribati,كيريباتي,I-Kiribati,I-Kiribati
Ghana,غانا,Ghanaian,Ghanaian
Chad,تشاد,Chadian,Chadian
Zimbabwe,زيمبابوي,Zimbabwean,Zimbabwean
Saint Martin,سانت مارتن,Saint Martin Islander,Saint Martin Islander
Mongolia,منغوليا,Mongolian,Mongolian
Portugal,البرتغال,Portuguese,Portuguese
American Samoa,ساموا الأمريكية,American Samoan,American Samoan
Republic of the Congo,جمهورية الكونفو,Congolese,Congolese
Belgium,بلجيكا,Belgian,Belgian
Israel,إسرائيل,Israeli,Israeli
New Zealand,نيوزيلندا,New Zealander,New Zealander
Nicaragua,نيكاراغوا,Nicaraguan,Nicaraguan
Anguilla,أنغويلا,Anguillian,Anguillian
